id,feature1,feature2,target
0,0.9785079100066747,0.686877554321153,0
1,0.5388470246205772,0.46136319515168467,0
2,0.44277359254107185,0.8780240519091955,1
3,0.8303434210887511,0.5398533545275782,0
4,0.605713140798214,0.9066231980684372,0
5,0.8856803319990431,0.43368688249942355,1
6,0.24001216594076125,0.8375755536716656,0
7,0.22161521407576723,0.1102908388958398,1
8,0.852710473631305,0.6013774689481934,1
9,0.5017737385661792,0.7535950517918322,0
10,0.1502030304665507,0.20304160666061355,1
11,0.19770398426297175,0.8013160639834155,1
12,0.32890874965164396,0.6254413239008085,0
13,0.05955080443522931,0.28934412703476897,0
14,0.21994236113374555,0.14994062039215228,0
